time_s,elapsed_s,gt_sync_span_s,gt_x_m,gt_y_m,gt_yaw_deg,estimate_x_m,estimate_y_m,estimate_yaw_deg,aligned_x_m,aligned_y_m,aligned_yaw_deg,position_error_m,yaw_error_signed_deg,yaw_error_deg,composite_pose_error,joint_accuracy_satisfied,filter_segment_id,original_row_index
1.330000,0.000000,0.030000,4.004483,-1.159771,-157.480,3.952706,-1.223853,-158.156,4.004483,-1.159771,-157.480,0.000000,0.000,0.000,0.000000,1,0,0
1.470000,0.140000,0.070000,4.004489,-1.159769,-157.480,3.952670,-1.223868,-158.157,4.004447,-1.159786,-157.481,0.000046,-0.001,0.001,0.000105,1,0,1
1.620000,0.290000,0.020000,4.004496,-1.159766,-157.480,3.952630,-1.223884,-158.158,4.004407,-1.159802,-157.482,0.000095,-0.002,0.002,0.000305,1,0,2
1.770000,0.440000,0.070000,4.004502,-1.159764,-157.480,3.952591,-1.223899,-158.159,4.004368,-1.159818,-157.483,0.000144,-0.003,0.003,0.000460,1,0,3
1.940000,0.610000,0.040000,4.004510,-1.159761,-157.480,3.952547,-1.223917,-158.161,4.004324,-1.159837,-157.485,0.000201,-0.005,0.005,0.000723,1,0,4
2.130000,0.800000,0.030000,4.004516,-1.159759,-157.480,3.952497,-1.223937,-158.162,4.004275,-1.159857,-157.487,0.000261,-0.006,0.006,0.000933,1,0,5
2.310000,0.980000,0.010000,4.004525,-1.159756,-157.481,3.952450,-1.223956,-158.163,4.004228,-1.159877,-157.488,0.000320,-0.007,0.007,0.001105,1,0,6
2.490000,1.160000,0.090000,4.004531,-1.159753,-157.481,3.952403,-1.223975,-158.164,4.004181,-1.159896,-157.488,0.000378,-0.008,0.008,0.001247,1,0,7
2.670000,1.340000,0.070000,4.004539,-1.159750,-157.481,3.952356,-1.223994,-158.165,4.004135,-1.159915,-157.490,0.000437,-0.009,0.009,0.001437,1,0,8
2.860000,1.530000,0.060000,4.004548,-1.159747,-157.481,3.952307,-1.224013,-158.167,4.004085,-1.159936,-157.491,0.000499,-0.011,0.011,0.001686,1,0,9
3.050000,1.720000,0.050000,4.004552,-1.159682,-157.309,3.952269,-1.224028,-157.991,4.004048,-1.159951,-157.315,0.000572,-0.006,0.006,0.001164,1,0,10
3.240000,1.910000,0.040000,4.004416,-1.159099,-155.615,3.952277,-1.224025,-156.409,4.004056,-1.159948,-155.733,0.000922,-0.118,0.118,0.016670,1,0,11
3.440000,2.110000,0.040000,4.004119,-1.158299,-153.174,3.952287,-1.224021,-153.035,4.004066,-1.159943,-152.360,0.001646,0.814,0.814,0.115183,1,0,12
3.630000,2.300000,0.030000,4.003544,-1.157044,-149.224,3.952295,-1.224016,-149.249,4.004074,-1.159939,-148.574,0.002943,0.650,0.650,0.092023,1,0,13
3.820000,2.490000,0.020000,4.002879,-1.155827,-145.255,3.952303,-1.224011,-145.462,4.004082,-1.159933,-144.786,0.004279,0.469,0.469,0.066578,1,0,14
4.010000,2.680000,0.010000,4.002129,-1.154661,-141.287,3.952310,-1.224006,-141.676,4.004089,-1.159928,-141.000,0.005620,0.287,0.287,0.041311,1,0,15
4.200000,2.870000,0.000000,4.001300,-1.153551,-137.319,3.952316,-1.224000,-137.890,4.004095,-1.159923,-137.214,0.006958,0.105,0.105,0.017810,1,0,16
4.390000,3.060000,0.100000,4.000417,-1.152527,-133.450,3.952322,-1.223995,-134.104,4.004100,-1.159917,-133.428,0.008258,0.022,0.022,0.012075,1,0,17
4.590000,3.260000,0.100000,3.999441,-1.151541,-129.482,3.952327,-1.223989,-130.118,4.004106,-1.159911,-129.443,0.009582,0.040,0.040,0.014664,1,0,18
4.790000,3.460000,0.090000,3.998640,-1.150825,-126.407,4.052992,-1.173724,-126.013,4.104171,-1.108462,-125.337,0.113716,1.070,1.070,0.220810,1,0,19
4.980000,3.650000,0.080000,3.997550,-1.149966,-122.440,4.052996,-1.173718,-122.226,4.104175,-1.108457,-121.551,0.114419,0.889,0.889,0.204934,1,0,20
5.180000,3.850000,0.080000,3.996404,-1.149184,-118.472,4.053000,-1.173712,-118.241,4.104178,-1.108450,-117.565,0.115215,0.907,0.907,0.207379,1,0,21
5.370000,4.040000,0.070000,3.995206,-1.148482,-114.505,4.053002,-1.173706,-114.454,4.104181,-1.108445,-113.778,0.116097,0.726,0.726,0.193653,1,0,22
5.570000,4.240000,0.070000,3.993963,-1.147864,-110.537,4.053005,-1.173700,-110.469,4.104183,-1.108438,-109.793,0.117059,0.744,0.744,0.196140,1,0,23
5.770000,4.440000,0.070000,3.992681,-1.147332,-106.569,4.053007,-1.173694,-106.483,4.104185,-1.108432,-105.807,0.118095,0.762,0.762,0.198742,1,0,24
5.970000,4.640000,0.070000,3.991365,-1.146890,-102.601,4.053009,-1.173687,-102.497,4.104187,-1.108426,-101.822,0.119198,0.779,0.779,0.201411,1,0,25
6.160000,4.830000,0.060000,3.990022,-1.146538,-98.633,4.052969,-1.173742,-99.468,4.104148,-1.108481,-98.793,0.120304,-0.160,0.160,0.171636,1,0,26
6.360000,5.030000,0.060000,3.988658,-1.146277,-94.663,4.052970,-1.173736,-95.483,4.104149,-1.108475,-94.807,0.121520,-0.144,0.144,0.173059,1,0,27
6.560000,5.230000,0.060000,3.987278,-1.146119,-90.692,4.052970,-1.173734,-91.497,4.104149,-1.108472,-90.821,0.122785,-0.129,0.129,0.174596,1,0,28
6.750000,5.420000,0.050000,3.985890,-1.146062,-86.721,4.052970,-1.173738,-87.710,4.104149,-1.108477,-87.035,0.124088,-0.314,0.314,0.181012,1,0,29
6.950000,5.620000,0.050000,3.984706,-1.146691,-83.063,4.053066,-1.174721,-84.037,4.104257,-1.109458,-83.361,0.125214,-0.298,0.298,0.182030,1,0,30
7.140000,5.810000,0.040000,3.985104,-1.155880,-80.119,4.054215,-1.183349,-81.215,4.105507,-1.118072,-80.539,0.126200,-0.420,0.420,0.188115,1,0,31
7.340000,6.010000,0.040000,3.987959,-1.174840,-77.273,4.057587,-1.202009,-78.363,4.109099,-1.136692,-77.688,0.127005,-0.415,0.415,0.188950,1,0,32
7.540000,6.210000,0.040000,3.994205,-1.203332,-74.422,4.064137,-1.230228,-75.508,4.115981,-1.164831,-74.833,0.127717,-0.411,0.411,0.189723,1,0,33
7.740000,6.410000,0.040000,4.001630,-1.230631,-72.284,4.074807,-1.267717,-72.647,4.127093,-1.202192,-71.971,0.128645,0.313,0.313,0.187241,1,0,34
7.940000,6.610000,0.040000,4.015990,-1.274778,-69.275,4.090534,-1.313847,-69.575,4.143362,-1.248134,-68.899,0.130130,0.375,0.375,0.191532,1,0,35
8.130000,6.800000,0.030000,4.036580,-1.327588,-65.831,4.122335,-1.319874,-65.647,4.175233,-1.253785,-64.971,0.157071,0.859,0.859,0.253187,1,0,36
8.330000,7.000000,0.030000,4.063816,-1.386097,-62.512,4.151181,-1.379036,-62.552,4.204774,-1.312603,-61.876,0.158967,0.635,0.635,0.242100,1,0,37
8.520000,7.190000,0.020000,4.095944,-1.446756,-60.476,4.182117,-1.436565,-60.625,4.236386,-1.369763,-59.949,0.160162,0.527,0.527,0.238428,1,0,38
